,Data Label,Description
227,Elec_PowerParentAUpstairs,Loads Power_Thermal Instantaneous power consumption by emulator of parent A in the master bedroom  W
228,Elec_PowerChildAUpstairs,Loads Power_Thermal Instantaneous power consumption by emulator of child A in bedroom 2 W
229,Elec_PowerChildBUpstairs,Loads Power_Thermal Instantaneous power consumption by emulator of child B in bedroom 3 W
230,Elec_PowerParentBUpstairs,Loads Power_Thermal Instantaneous power consumption by emulator of parent B in master bedroom  W
231,Elec_PowerParentBDownstairs,Loads Power_Thermal Instantaneous power consumption by emulator of parent B in dining room  W
232,Elec_PowerParentADownstairs,Loads Power_Thermal Instantaneous power consumption by emulator of parent A in the kitchen W
233,Load_1stFloorLightsEnergyUsage,Loads Energy_Electrical Cumulative energy consumption starting at midnight by lights on first floor Wh
234,Load_1stFloorLightsPowerUsage,Loads Power_Electrical Instantaneous power consumption by lights on first floor  W
235,Load_1stFloorSensHeatEnergyUsage,Loads Energy_Thermal Cumulative energy consumption starting at midnight by sensible heat generators on first floor Wh
236,Load_1stFloorSensHeatPowerUsage,Loads Power_Thermal Instantaneous power consumption by sensible heat emulators on first floor  W
237,Load_2ndFloorLightsEnergyUsage,Loads Energy_Electrical Cumulative energy consumption starting at midnight by lights on second floor Wh
238,Load_2ndFloorLightsPowerUsage,Loads Power_Electrical Instantaneous power consumption by lights on second floor  W
239,Load_2ndFloorSensHeatEnergyUsage,Loads Energy_Thermal Cumulative energy consumption starting at midnight by sensible heat generators on second floor Wh
240,Load_2ndFloorSensHeatPowerUsage,Loads Power_Thermal Instantaneous power consumption by sensible heat emulators on second floor  W
241,Load_BasementPlugLoadsEnergyUsage,Loads  Energy_Electrical Cumulative energy consumption starting at midnight by plug loads in basement Wh
242,Load_BasementPlugLoadsPowerUsage,Loads  Power_Electrical Instantaneous power consumption by plug loads in basement W
243,Load_BR2PlugLoadsEnergyUsage,Loads Energy_Electrical Cumulative energy consumption starting at midnight by plug loads in bedroom 2 Wh
244,Load_BR2PlugLoadsPowerUsage,Loads Power_Electrical Instantaneous power consumption by plug loads in bedroom 2 W
245,Load_BR3PlugLoadsEnergyUsage,Loads Energy_Electrical Cumulative energy consumption starting at midnight by plug loads in bedroom 3 Wh
246,Load_BR3PlugLoadsPowerUsage,Loads Power_Electrical Instantaneous power consumption by plug loads in bedroom 3 W
247,Load_BR4PlugLoadsEnergyUsage,Loads Energy_Electrical Cumulative energy consumption starting at midnight by plug loads in bedroom 4 Wh
248,Load_BR4PlugLoadsPowerUsage,Loads Power_Electrical Instantaneous power consumption by plug loads in bedroom 4 W
249,Load_ClothesWasherEnergywithStandby,Loads  Energy_Electrical Cumulative energy consumption starting at midnight by clothes washer Wh
250,Load_ClothesWasherPowerWithStandby,Loads Power_Electrical Instantaneous power consumption by clothes washer W
251,Load_DryerEnergyTotal,Loads Energy_Electrical Cumulative energy consumption starting at midnight by dryer Wh
252,Load_DryerPowerTotal,Loads Power_Electrical Instantaneous power consumption by dryer W
253,Load_RefrigeratorTemp,Loads Temp_Air Instantaneous temperature within refrigerator compartment °C
254,Load_KPlugLoadsEnergyUsage,Loads Energy_Electrical Cumulative energy consumption starting at midnight by plug loads in kitchen Wh
255,Load_KPlugLoadsPowerUsage,Loads Power_Electrical Instantaneous power consumption by plug loads in kitchen  W
256,Load_LatentHeatEnergyUsage,Loads Energy_Thermal Cumulative energy consumption starting at midnight by moisture generators Wh
257,Load_LatentHeatPowerUsage,Loads Power_Thermal Instantaneous power consumption by moisture generator  W
258,Load_LatentHeatWaterVolume,Loads Flow_Water Cumulative volume of water injected into space by humidifier to simulate moisture addition by occupant behavior Gallons
259,Load_LRPlugLoadsEnergyUsage,Loads Energy_Electrical Cumulative energy consumption starting at midnight by plug loads in living room Wh
260,Load_LRPlugLoadsPowerUsage,Loads Power_Electrical Instantaneous power consumption by plug loads in living room  W
261,Load_MBRPlugLoadsEnergyUsage,Loads Energy_Electrical Cumulative energy consumption starting at midnight by plug loads in master bedroom Wh
262,Load_MBRPlugLoadsPowerUsage,Loads Power_Electrical Instantaneous power consumption by plug loads in master bedroom W
263,Load_MicrowaveEnergywithStandby,Loads  Energy_Electrical Cumulative energy consumption starting at midnight by microwave oven Wh
264,Load_MicrowavePowerWithStandby,Loads Power_Electrical Instantaneous power consumption by microwave oven W
265,Load_OvenEnergyTotal,Loads Energy_Electrical Cumulative energy consumption starting at midnight by oven Wh
266,Load_OvenPowerTotal,Loads Power_Electrical Instantaneous power consumption by oven W
267,Load_RefrigeratorEnergywithStandby,Loads  Energy_Electrical Cumulative energy consumption starting at midnight by refrigerator Wh
268,Load_RefrigeratorPowerWithStandby,Loads Power_Electrical Instantaneous power consumption by refrigerator W
269,Load_StatusApplianceCooktop,"Loads Status_OnOff Number to indicate whether cooktop is activated (1: Yes, O: No) "
270,Load_StatusApplianceDishwasher,"Loads Status_OnOff Number to indicate whether dishwasher is activated (1: Yes, O: No) "
271,Load_StatusApplianceOven,"Loads Status_OnOff Number to indicate whether oven is activated (1: Yes, O: No) "
272,Load_StatusApplianceRangeHood,"Loads Status_OnOff Number to indicate whether range hood is activated (1: Yes, O: No) "
273,Load_StatusLatentload,"Loads Status_OnOff Number to indicate whether moisture generator is activated (1: Yes, O: No) "
274,Load_StatusPlugLoadBlender,"Loads Status_OnOff Number to indicate whether blender is activated (1: Yes, O: No) "
275,Load_StatusPlugLoadBR2Laptop,"Loads Status_OnOff Number to indicate whether laptop computer in bedroom 2 is activated (1: Yes, O: No) "
276,Load_StatusPlugLoadBR3Laptop,"Loads Status_OnOff Number to indicate whether laptop computer in bedroom 3 is activated (1: Yes, O: No) "
277,Load_StatusPlugLoadCanOpener,"Loads Status_OnOff Number to indicate whether can opener is activated (1: Yes, O: No) "
278,Load_StatusPlugLoadCoffeeMaker,"Loads Status_OnOff Number to indicate whether coffee maker is activated (1: Yes, O: No) "
279,Load_StatusPlugLoadDesktopPCMonitor,"Loads Status_OnOff Number to indicate whether desktop computer and monitor in first floor bedroom is activated (1: Yes, O: No) "
280,Load_StatusPlugLoadFan,"Loads Status_OnOff Number to indicate whether fan in master bedroom is activated (1: Yes, O: No) "
281,Load_StatusPlugLoadHairDryerCurlIron,"Loads Status_OnOff Number to indicate whether hair dryer or curling iron is activated (1: Yes, O: No) "
282,Load_StatusPlugLoadHandMixer,"Loads Status_OnOff Number to indicate whether hand mixer is activated (1: Yes, O: No) "
283,Load_StatusPlugLoadHeatingPad,"Loads Status_OnOff Number to indicate whether heating pad is activated (1: Yes, O: No) "
284,Load_StatusPlugLoadIron,"Loads Status_OnOff Number to indicate whether iron is activated (1: Yes, O: No) "
285,Load_StatusPlugLoadLRBlueRay,"Loads Status_OnOff Number to indicate whether BluRay player in living room is activated (1: Yes, O: No) "
286,Load_StatusPlugLoadLRTV,"Loads Status_OnOff Number to indicate whether television in living room is activated (1: Yes, O: No) "
287,Load_StatusPlugLoadMBRBlueRay,"Loads Status_OnOff Number to indicate whether BluRay player in master bedroom is activated (1: Yes, O: No) "
288,Load_StatusPlugLoadMBRTV,"Loads Status_OnOff Number to indicate whether television in master bedroom is activated (1: Yes, O: No) "
289,Load_StatusPlugLoadSlowCooker,"Loads Status_OnOff Number to indicate whether slow cooker is activated (1: Yes, O: No) "
290,Load_StatusPlugLoadToaster,"Loads Status_OnOff Number to indicate whether toaster is activated (1: Yes, O: No) "
291,Load_StatusPlugLoadToasterOven,"Loads Status_OnOff Number to indicate whether toaster oven is activated (1: Yes, O: No) "
292,Load_StatusPlugLoadVacuum,"Loads Status_OnOff Number to indicate whether vacuum is activated (1: Yes, O: No) "
293,Load_StatusPlugLoadVideoGame,"Loads Status_OnOff Number to indicate whether video game console in living room is activated (1: Yes, O: No) "
294,Load_StatusBR4Lights,"Loads Status_OnOff Number to indicate whether lights in bedroom 4 are activated (1: Yes, O: No) "
295,Load_StatusMBALights,"Loads Status_OnOff Number to indicate whether lights in master bathroom are activated (1: Yes, O: No) "
296,Load_StatusMBRLights1,"Loads Status_OnOff Number to indicate whether lights A in master bedroom are activated (1: Yes, O: No) "
297,Load_StatusMBRLights2,"Loads Status_OnOff Number to indicate whether lights B in master bedroom are activated (1: Yes, O: No) "
298,Load_StatusBA2Lights,"Loads Status_OnOff Number to indicate whether lights 2nd floor bathroom located off hallway are activated (1: Yes, O: No) "
299,Load_StatusBR2Lights,"Loads Status_OnOff Number to indicate whether lights in bedroom 2 are activated (1: Yes, O: No) "
300,Load_StatusBA1Lights,"Loads Status_OnOff Number to indicate whether lights in 1st floor bathroom are activated (1: Yes, O: No) "
301,Load_StatusBR3Lights,"Loads Status_OnOff Number to indicate whether lights in bedroom 3 are activated (1: Yes, O: No) "
302,Load_StatusSensHeatPrntBDOWN,"Loads Status_OnOff Number to indicate whether parent B is simulated as being downstairs (1: Yes, O: No) "
303,Load_StatusSensHeatPrntAUP,"Loads Status_OnOff Number to indicate whether parent A is simulated as being upstairs (1: Yes, O: No) "
304,Load_StatusKitchenLightsA,"Loads Status_OnOff Number to indicate whether lights A in kitchen are activated (1: Yes, O: No) "
305,Load_StatusSensHeatPrntBUP,"Loads Status_OnOff Number to indicate whether parent B is simulated as being upstairs (1: Yes, O: No) "
306,Load_StatusSensHeatChildAUP,"Loads Status_OnOff Number to indicate whether child A is simulated as being upstairs (1: Yes, O: No) "
307,Load_StatusSensHeatChildBUP,"Loads Status_OnOff Number to indicate whether child B is simulated as being upstairs (1: Yes, O: No) "
308,Load_StatusKitchen LightsB,"Loads Status_OnOff Number to indicate whether lights B in kitchen are activated (1: Yes, O: No) "
309,Load_StatusSensHeatChildBDOWN,"Loads Status_OnOff Number to indicate whether child B is simulated as being downstairs (1: Yes, O: No) "
310,Load_StatusLRLights1,"Loads Status_OnOff Number to indicate whether lights in living room are activated (1: Yes, O: No) "
311,Load_StatusSensHeatPrntADOWN,"Loads Status_OnOff Number to indicate whether parent A is simulated as being downstairs (1: Yes, O: No) "
312,Load_StatusSensHeatChildADOWN,"Loads Status_OnOff Number to indicate whether child A is simulated as being downstairs (1: Yes, O: No) "
313,Load_StatusKitchenLightsC,"Loads Status_OnOff Number to indicate whether lights C in kitchen are activated (1: Yes, O: No) "
314,Load_StatusLRLights2,"Loads Status_OnOff Number to indicate whether lights in living room are activated (1: Yes, O: No) "
315,Load_StatusDRLights,"Loads Status_OnOff Number to indicate whether lights in dining room are activated (1: Yes, O: No) "
316,Load_StatusLRLights3,"Loads Status_OnOff Number to indicate whether lights in living room are activated (1: Yes, O: No) "
317,Load_StatusEntryHallLights,"Loads Status_OnOff Number to indicate whether lights in entry hallway are activated (1: Yes, O: No) "
318,OutEnv_OutdoorAmbTemp,OutEnv Temp_Air Instantaneous dry bulb temperature measured above the roof's peak °C
319,OutEnv_RooftopWindDirection,"OutEnv Flow_Air Instantaneous wind direction measured above the roof's peak; 0° means wind is blowing from true north; all other readings are taken relative to clockwise from true north.  For example, 90° means wind is blowing from true east to true west.    degrees"
320,OutEnv_RooftopWindSpeed,OutEnv Flow_Air Instantaneous wind speed measured above the roof's peak m/s
321,Elec_EnergyPV1of2,PV Energy_Electrical Cumulative energy fed into breaker panel by one leg of electrical supply from PV inverters from midnight; note that energy supplied from other leg is needed to get total energy supply from inverters Wh
322,Elec_EnergyPV2of2,PV Energy_Electrical Cumulative energy fed into breaker panel by one leg of electrical supply from PV inverters from midnight; note that energy supplied from other leg is needed to get total energy supply from inverters Wh
323,Elec_PowerPV1of2,PV Power_Electrical Instantaneous power fed into breaker panel by one leg of electrical supply from PV inverters; note that power supplied from other leg is needed to get total power supply from inverters W
324,Elec_PowerPV2of2,PV Power_Electrical Instantaneous power fed into breaker panel by one leg of electrical supply from PV inverters; note that power supplied from other leg is needed to get total power supply from inverters W
325,PV_AmpsAIA1,PV Current_Electrical Instantaneous current produced from the Phase A wire from inverter 1 (AC) A
326,PV_AmpsAIA2,PV Current_Electrical Instantaneous current produced from the Phase A wire from inverter 2 (AC) A
327,PV_AmpsBIB1,PV Current_Electrical Instantaneous current produced from the Phase B wire from inverter 1 (AC) V
328,PV_AmpsBIB2,PV Current_Electrical Instantaneous current produced from the Phase B wire from inverter 2 (AC) V
329,PV_FrequencyF1,PV  Frequency_Electrical Instantaneous frequency of AC electricity output from inverter 1 Hz
330,PV_FrequencyF2,PV  Frequency_Electrical Instantaneous frequency of AC electricity output from inverter 2 Hz
331,PV_PowerFactor3PhTotalPF3PhT1,PV PowerFactor_Electrical Instantaneous power factor of electricity output from inverter 1 (Single Phase AC) 
332,PV_PowerFactor3PhTotalPF3PhT2,PV PowerFactor_Electrical Instantaneous power factor of electricity output from inverter 2 (Single Phase AC) 
333,PV_PVBacksideTemp2,"PV Temp_PV Instantaneous temperature on the backside of module at location 2 of the photovoltaic array.  Location 2 is on the 3rd string from the bottom of the array, the fourth module from the west side of the array.   °C"
334,PV_PVBacksideTemp3,"PV Temp_PV Instantaneous temperature on the backside of module at location 3 of the photovoltaic array.  Location 3 is on the 3rd string from the bottom of the array, the fourth module from the west side of the array.   °C"
335,PV_PVBacksideTemp4,"PV Temp_PV Instantaneous temperature on the backside of module at location 4 of the photovoltaic array.  Location 4 is on the 3rd string from the bottom of the array, the fourth module from the west side of the array.   °C"
336,PV_PVBacksideTemp7,"PV Temp_PV Instantaneous temperature on the backside of module at location 7 of the photovoltaic array.  Location 7 is on the top string of the array, the west-most module of the array.   °C"
337,PV_PVInsolationHArray,PV Light_Solar The amount of sunlight impacting the array during the past minute.   kWh
338,PV_PVSystem1ACEnergyOSEACPV1OS,PV Energy_Electrical Cumulative AC energy generation out of inverter 1 of the photovoltaic array; data collected with an inline meter.   Wh
339,PV_PVSystem1ACPowerOSPACPV1OS,PV Power_Electrical Instantaneous AC power reading from inverter 1 as measured by an inline meter W
340,PV_PVSystem2ACEnergyOSEACPV2OS,PV Energy_Electrical Cumulative AC energy generation out of the inverter 2 of the photovoltaic array; data collected with an inline meter.   Wh
341,PV_PVSystem2ACPowerOSPACPV2OS,PV Power_Electrical Instantaneous AC power reading from inverter 1 as measured by an inline meter W
342,PV_StringCurrentIStr1,PV  Current_Electrical Instantaneous direct current from string 1 feeding into inverter 1 A
343,PV_StringCurrentIStr2,PV  Current_Electrical Instantaneous direct current from string 2 feeding into inverter 1 A
344,PV_StringCurrentIStr3,PV  Current_Electrical Instantaneous direct current from string 3 feeding into inverter 2 A
345,PV_StringCurrentIStr4,PV  Current_Electrical Instantaneous direct current from string 4 feeding into inverter 2 A
346,PV_StringVoltageUStr2,PV Voltage_Electrical Instantaneous voltage from Strings 1 and 2 of photovoltaic array into inverter 1 (DC) V
347,PV_StringVoltageUStr4,PV Voltage_Electrical Instantaneous voltage from Strings 3 and 4 of photovoltaic array into inverter 2 (DC) V
348,PV_VoltsANUAN1,PV Voltage_Electrical Instantaneous voltage difference between the Phase A wire and the neutral wire for inverter 1 (AC) V
349,PV_VoltsANUAN2,PV Voltage_Electrical Instantaneous voltage difference between the Phase A wire and the neutral wire for inverter 2 (AC) V
350,PV_VoltsBNUBN1,PV Voltage_Electrical Instantaneous voltage difference between the Phase B wire and the neutral wire for inverter 1 (AC) V
351,PV_VoltsBNUBN2,PV Voltage_Electrical Instantaneous voltage difference between the Phase B wire and the neutral wire for inverter 2 (AC) V
352,PV_Watts3PhTotalW3PhT1,PV Power_Electrical Instantaneous power produced from Inverter 1 (1-phase AC); meter uses remotely located  current transformers W
353,PV_Watts3PhTotalW3PhT2,PV Power_Electrical Instantaneous power produced from Inverter 2 (1-phase AC); meter uses remotely located current transformers W
354,PV_WhoursDeliveredWhD1,PV Energy_Electrical Cumulative energy delivered by inverter 1 from beginning of operation as measured by meter using current transformers Wh
355,PV_WhoursDeliveredWhD2,PV Energy_Electrical Cumulative energy delivered by inverter 2 from beginning of operation as measured by meter using current transformers Wh
356,Elec_PowerPlugsBaseAHeliodyneHXs,SHW Power_Electrical Instantaneous power used by solar water heater pumps W
357,SHW_GlycolFlowHXCoriolisSHW,SHW Flow_Glycol Cumulative volume of glycol/water solution flowing through the heat exchanger of the solar water heating system starting from midnight Gallons
358,SHW_GlycolFlowRateHXCoriolisSHW,SHW Flow_Glycol Instantaneous flow rate of glycol/water solution flowing through the heat exchanger of the solar water heating system Gallons Per Minute
359,SHW_GlycolTempSHWPanel80galOut,SHW Temp_Glycol Instantaneous temperature of glycol/water solution leaving solar panel on roof; temperature is measured with a surface RTD mounted on the surface of the pipe and wrapped in insulation   °C
360,SHW_PSPSHW,SHW Light_Solar Solar broadband insolation measured adjacent to and in the plane of the solar thermal collectors W/m2
361,SHW_SHWHX80galWaterFlow,SHW Flow_Water Cumulative volume of potable water flowing through the heat exchanger of the solar water heating system starting from midnight (as measured by the heat exchanger’s internal flow meter) Gallons
362,SHW_WaterFlowHXCoriolisSHW,SHW Flow_Water Cumulative volume of potable water flowing through the heat exchanger of the solar water heating system starting from midnight Gallons
363,SHW_WaterFlowRateHXCoriolisSHW,SHW Flow_Water Instantaneous flow rate of potable water flowing through the heat exchanger of the solar water heating system Gallons Per Minute
364,Elec_EnergyMakeUpAirDamper,Ventilation Energy_Electrical Cumulative energy consumption of make-up air damper located in attic from midnight Wh
365,Elec_PowerMakeUpAirDamper,Ventilation Power_Electrical Instantaneous power consumption of make-up air damper located in attic  W
366,Vent_HRVDewpointTemperatureExhaust,Ventilation Temp_DewP Instantaneous dew point temperature in the exhaust duct outlet from the heat recovery ventilator; refers to indoor air being exhausted from the house °C
367,Vent_HRVDewpointTemperatureOutdoor,Ventilation Temp_DewP Instantaneous dew point temperature in the outdoor inlet duct to the heat recovery ventilator; refers to outdoor air being brought into the house °C
368,Vent_HRVDewpointTemperatureReturn,Ventilation Temp_DewP Instantaneous dew point temperature in the return duct inlet to the heat recovery ventilator; refers to indoor air being returned to the HRV  from the house °C
369,Vent_HRVDewpointTemperatureSupply,Ventilation Temp_DewP Instantaneous dew point temperature in the supply duct outlet from the heat recovery ventilator; refers to outdoor air being brought into the heat recovery ventilator °C
370,Vent_HRVexhaustflowrate,Ventilation Flow_Air Instantaneous flow rate of air in the exhaust duct outlet from the heat recovery ventilator; refers to indoor air being exhausted from the house ft3/min
371,Vent_HRVfreshairpressuredifferential,Ventilation Pressure_Air Instantaneous pressure differential across heat recovery ventilator of the outdoor air stream Inches H2O
372,Vent_HRVoutdoorflowrate,Ventilation Flow_Air Instantaneous flow rate of air in the outdoor inlet duct to the heat recovery ventilator; refers to outdoor air being brought into the house ft3/min
373,Vent_HRVreturnflowrate,Ventilation Flow_Air Instantaneous flow rate of air in the return flow duct entering the heat recovery ventilator; refers to indoor air being returned to HRV from the house ft3/min
374,Vent_HRVstaleairpressuredifferential,Ventilation Pressure_Air Instantaneous pressure differential across heat recovery ventilator of the exhaust air stream Inches H2O
375,Vent_HRVTempExhaustOut,Ventilation Temp_Air Instantaneous dry bulb temperature in the exhaust duct outlet from the heat recovery ventilator; refers to indoor air being exhausted from the house °C
376,Vent_HRVTempOutdoorin,Ventilation Temp_Air Instantaneous dry bulb temperature in the outdoor inlet duct to the heat recovery ventilator; refers to outdoor air being brought into the house °C
377,Vent_HRVTempReturnIn,Ventilation Temp_Air Instantaneous dry bulb temperature in the return duct inlet to the heat recovery ventilator; refers to indoor air being returned to HRV from the house °C
378,Vent_HRVTempSupplyOut,Ventilation Temp_Air Instantaneous dry bulb temperature in the supply duct outlet from the heat recovery ventilator; refers to outdoor air being brought into the heat recovery ventilator °C
