ID,Data Label,Description
171,Elec_EnergyPlugsInstBR2Hall,Elec_EnergyPlugsInstBR2Hall Instr Bedroom 2 Energy_Electrical Cumulative energy consumption from midnight by instrumentation plugged into receptacles in bedroom 2 Wh
172,Elec_EnergyPlugsInstHall,Elec_EnergyPlugsInstHall Instr Entry Hallway Energy_Electrical Cumulative energy consumption from midnight by instrumentation plugged into receptacles in entry hallway Wh
173,Elec_EnergyLightingControlPanelRPS1,Elec_EnergyLightingControlPanelRPS1 Instr Basement Energy_Electrical Cumulative energy consumption from midnight by lighting control panel located in basement Wh
174,Elec_EnergyPlugsInstBR3,Elec_EnergyPlugsInstBR3 Instr Bedroom3 Energy_Electrical Cumulative energy consumption from midnight by instrumentation plugged into receptacles in bedroom 3 Wh
175,Elec_EnergyHeatLoadforRefrigerator,Elec_EnergyHeatLoadforRefrigerator Instr Kitchen Energy_Thermal Cumulative heat energy added to compartment of refrigerator to simulate opening and adding warm items Wh
176,Elec_EnergyPlugsInstMudroomA,Elec_EnergyPlugsInstMudroomA Instr Mudroom Energy_Electrical Cumulative energy consumption from midnight by instrumentation plugged into receptacles in mudroom Wh
177,Elec_EnergyLightingControlPanelRPS2,Elec_EnergyLightingControlPanelRPS2 Instr Basement Energy_Electrical Cumulative energy consumption from midnight by lighting control panel located in basement Wh
178,Elec_EnergyPlugsHVACInstrumentation,Elec_EnergyPlugsHVACInstrumentation Instr Basement Energy_Electrical Cumulative energy consumption from midnight by instrumentation connected to heat pump  Wh
179,Elec_EnergyPlugsInstKitD,Elec_EnergyPlugsInstKitD Instr Kitchen Energy_Electrical Cumulative energy consumption from midnight by instrumentation located in kitchen Wh
180,Elec_EnergyPlugsInstBA1,Elec_EnergyPlugsInstBA1 Instr Bath1 Energy_Electrical Cumulative energy consumption from midnight by instrumentation plugged into receptacles in bathroom 1 Wh
181,Elec_EnergyPlugsInstKitA,Elec_EnergyPlugsInstKitA Instr Kitchen Energy_Electrical Cumulative energy consumption from midnight by instrumentation plugged into receptacles in kitchen Wh
182,Elec_EnergyPlugsInstMudroomB,Elec_EnergyPlugsInstMudroomB Instr Mudroom Energy_Electrical Cumulative energy consumption from midnight by instrumentation plugged into receptacles in mudroom Wh
183,Elec_EnergyPlugsInstDRA,Elec_EnergyPlugsInstDRA Instr Dining Room Energy_Electrical Cumulative energy consumption from midnight by instrumentation plugged into receptacles in dining room Wh
184,Elec_PowerPlugsInstBR4A,Elec_PowerPlugsInstBR4A Instr Bedroom4 Power_Electrical Instantaneous power consumption by instrumentation plugged into receptacles in bedroom 4 W
185,Elec_PowerPlugsInstBR4B,Elec_PowerPlugsInstBR4B Instr Bedroom4 Power_Electrical Instantaneous power consumption by instrumentation plugged into receptacles in bedroom 4 W
186,Elec_PowerPlugsInstLRA,Elec_PowerPlugsInstLRA Instr Living Room Power_Electrical Instantaneous power consumption by instrumentation plugged into receptacles in living room W
187,Elec_PowerPlugsInstLRB,Elec_PowerPlugsInstLRB Instr Living Room Power_Electrical Instantaneous power consumption by instrumentation plugged into receptacles in living room W
188,Elec_PowerPlugsInstBA2,Elec_PowerPlugsInstBA2 Instr Bath2 Power_Electrical Instantaneous power consumption by instrumentation plugged into receptacles in bathroom 2 W
189,Elec_PowerPlugsInstMBAB,Elec_PowerPlugsInstMBAB Instr MBath Power_Electrical Instantaneous power consumption by instrumentation plugged into receptacles in master bathroom W
190,Elec_PowerPlugsGSHPInstrumentation,Elec_PowerPlugsGSHPInstrumentation Instr Basement Power_Electrical Instantaneous power consumption by instrumentation connected to ground source heat pump test apparatus W
191,Elec_PowerPlugsInstMBRA,Elec_PowerPlugsInstMBRA Instr Master Bedroom Power_Electrical Instantaneous power by instrumentation plugged into receptacles in the master bedroom W
192,Elec_PowerPlugsInstBR2Hall,Elec_PowerPlugsInstBR2Hall Instr Bedroom 2 Power_Electrical Instantaneous power consumption by instrumentation plugged into receptacles in bedroom 2 W
193,Elec_PowerPlugsInstHall,Elec_PowerPlugsInstHall Instr Entry Hallway Power_Electrical Instantaneous power consumption by instrumentation plugged into receptacles in entry hallway W
194,Elec_PowerLightingControlPanelRPS1,Elec_PowerLightingControlPanelRPS1 Instr Basement Power_Electrical Instantaneous power consumption by lighting control panel located in basement W
195,Elec_PowerPlugsInstBR3,Elec_PowerPlugsInstBR3 Instr Bedroom3 Power_Electrical Instantaneous power consumption by instrumentation plugged into receptacles in bedroom 3 W
196,Elec_PowerHeatLoadforRefrigerator,Elec_PowerHeatLoadforRefrigerator Instr Kitchen Power_Thermal Instantaneous power of heat load in refrigerator to simulate opening and adding warm items W
197,Elec_PowerPlugsInstMudroomA,Elec_PowerPlugsInstMudroomA Instr Mudroom Power_Electrical Instantaneous power consumption by instrumentation plugged into receptacles in mudroom W
198,Elec_PowerLightingControlPanelRPS2,Elec_PowerLightingControlPanelRPS2 Instr Basement Power_Electrical Instantaneous power consumption by lighting control panel located in basement W
199,Elec_PowerPlugsHVACInstrumentation,Elec_PowerPlugsHVACInstrumentation Instr Basement Power_Electrical Instantaneous power consumption by instrumentation connected to heat pump  W
200,Elec_PowerPlugsInstKitD,Elec_PowerPlugsInstKitD Instr Kitchen Power_Electrical Instantaneous power consumption by instrumentation located in kitchen W
201,Elec_PowerPlugsInstBA1,Elec_PowerPlugsInstBA1 Instr Bath1 Power_Electrical Instantaneous power consumption by instrumentation plugged into receptacles in bathroom 1 W
202,Elec_PowerPlugsInstKitA,Elec_PowerPlugsInstKitA Instr Kitchen Power_Electrical Instantaneous power consumption by instrumentation plugged into receptacles in kitchen W
203,Elec_PowerPlugsInstMudroomB,Elec_PowerPlugsInstMudroomB Instr Mudroom Power_Electrical Instantaneous power consumption by instrumentation plugged into receptacles in mudroom W
204,Elec_PowerPlugsInstDRA,Elec_PowerPlugsInstDRA Instr Dining Room Power_Electrical Instantaneous power consumption by instrumentation plugged into receptacles in dining room W
205,Elec_EnergyLightsBasementStair,Elec_EnergyLightsBasementStair Lighting Basement Energy_Electrical Cumulative energy consumption of lights over basement stairs from midnight Wh
206,Elec_EnergyLights2ndFloor,Elec_EnergyLights2ndFloor Lighting Bath2 Energy_Electrical Cumulative energy consumption of lighting in bathroom 2 from midnight Wh
207,Elec_EnergyLights1stFloorA,"Elec_EnergyLights1stFloorA Lighting Multiple Energy_Electrical Cumulative energy consumption by a subset of lighting on first floor from midnight; includes living room, hallway, and bedroom 4.   Wh"
208,Elec_EnergyLights1stFloorB,"Elec_EnergyLights1stFloorB Lighting Multiple Energy_Electrical Cumulative energy consumption by a subset of lighting on first floor from midnight; includes hallway, bathroom, kitchen, and dining room Wh"
209,Elec_EnergyLightsBasement,Elec_EnergyLightsBasement Lighting Basement Energy_Electrical Cumulative energy consumption from midnight by lights activated in basement Wh
210,Elec_EnergyLightsAttic,Elec_EnergyLightsAttic Lighting Attic Energy_Electrical Cumulative energy consumption from midnight by lights activated in attic Wh
211,Elec_PowerLightsBasementStair,Elec_PowerLightsBasementStair Lighting Basement Power_Electrical Instantaneous power used by lights over basement stairs W
212,Elec_PowerLights2ndFloor,Elec_PowerLights2ndFloor Lighting Bath2 Power_Electrical Instantaneous power consumption of lighting in bathroom 2  W
213,Elec_PowerLights1stFloorA,"Elec_PowerLights1stFloorA Lighting Multiple Power_Electrical Instantaneous power consumption by a subset of lighting on first floor from midnight; includes living room, hallway, and bedroom 4.   W"
214,Elec_PowerLights1stFloorB,"Elec_PowerLights1stFloorB Lighting Multiple Power_Electrical Instantaneous power consumption by a subset of lighting on first floor from midnight; includes hallway, bathroom, kitchen, and dining room W"
215,Elec_PowerLightsBasement,Elec_PowerLightsBasement Lighting Basement Power_Electrical Instantaneous power consumption by lights activated in basement W
216,Elec_PowerLightsAttic,Elec_PowerLightsAttic Lighting Attic Power_Electrical Instantaneous power consumption by lights activated in attic W
217,Elec_EnergyChildBDownstairs,Elec_EnergyChildBDownstairs Loads Dining Room Energy_Thermal Cumulative heat energy given off from midnight by emulator of child B in the dining room Wh
218,Elec_EnergyChildADownstairs,Elec_EnergyChildADownstairs Loads Living Room Energy_Thermal Cumulative heat energy given off from midnight by emulator of child A in the living room Wh
219,Elec_EnergyParentAUpstairs,Elec_EnergyParentAUpstairs Loads Master Bedroom Energy_Thermal Cumulative heat energy given off from midnight by emulator of parent A in the master bedroom  Wh
220,Elec_EnergyChildAUpstairs,Elec_EnergyChildAUpstairs Loads Bedroom2 Energy_Thermal Cumulative heat energy given off from midnight by emulator of child A in bedroom 2 Wh
221,Elec_EnergyChildBUpstairs,Elec_EnergyChildBUpstairs Loads Bedroom3 Energy_Thermal Cumulative heat energy given off from midnight by emulator of child B in bedroom 3 Wh
222,Elec_EnergyParentBUpstairs,Elec_EnergyParentBUpstairs Loads Master Bedroom Energy_Thermal Cumulative heat energy given off from midnight by emulator of parent B in master bedroom  Wh
223,Elec_EnergyParentBDownstairs,Elec_EnergyParentBDownstairs Loads Dining Room Energy_Thermal Cumulative heat energy given off from midnight by emulator of parent B in dining room  Wh
224,Elec_EnergyParentADownstairs,Elec_EnergyParentADownstairs Loads Kitchen Energy_Thermal Cumulative heat energy given off from midnight by emulator of parent A in the kitchen Wh
225,Elec_PowerChildBDownstairs,Elec_PowerChildBDownstairs Loads Dining Room Power_Thermal Instantaneous power consumption by emulator of child B in the dining room W
226,Elec_PowerChildADownstairs,Elec_PowerChildADownstairs Loads Living Room Power_Thermal Instantaneous power consumption by emulator of child A in the living room W
227,Elec_PowerParentAUpstairs,Elec_PowerParentAUpstairs Loads Master Bedroom Power_Thermal Instantaneous power consumption by emulator of parent A in the master bedroom  W
228,Elec_PowerChildAUpstairs,Elec_PowerChildAUpstairs Loads Bedroom2 Power_Thermal Instantaneous power consumption by emulator of child A in bedroom 2 W
229,Elec_PowerChildBUpstairs,Elec_PowerChildBUpstairs Loads Bedroom3 Power_Thermal Instantaneous power consumption by emulator of child B in bedroom 3 W
230,Elec_PowerParentBUpstairs,Elec_PowerParentBUpstairs Loads Master Bedroom Power_Thermal Instantaneous power consumption by emulator of parent B in master bedroom  W
231,Elec_PowerParentBDownstairs,Elec_PowerParentBDownstairs Loads Dining Room Power_Thermal Instantaneous power consumption by emulator of parent B in dining room  W
232,Elec_PowerParentADownstairs,Elec_PowerParentADownstairs Loads Kitchen Power_Thermal Instantaneous power consumption by emulator of parent A in the kitchen W
233,Load_1stFloorLightsEnergyUsage,Load_1stFloorLightsEnergyUsage Loads Multiple Energy_Electrical Cumulative energy consumption starting at midnight by lights on first floor Wh
234,Load_1stFloorLightsPowerUsage,Load_1stFloorLightsPowerUsage Loads Multiple Power_Electrical Instantaneous power consumption by lights on first floor  W
235,Load_1stFloorSensHeatEnergyUsage,Load_1stFloorSensHeatEnergyUsage Loads Multiple Energy_Thermal Cumulative energy consumption starting at midnight by sensible heat generators on first floor Wh
236,Load_1stFloorSensHeatPowerUsage,Load_1stFloorSensHeatPowerUsage Loads Multiple Power_Thermal Instantaneous power consumption by sensible heat emulators on first floor  W
237,Load_2ndFloorLightsEnergyUsage,Load_2ndFloorLightsEnergyUsage Loads Multiple Energy_Electrical Cumulative energy consumption starting at midnight by lights on second floor Wh
238,Load_2ndFloorLightsPowerUsage,Load_2ndFloorLightsPowerUsage Loads Multiple Power_Electrical Instantaneous power consumption by lights on second floor  W
239,Load_2ndFloorSensHeatEnergyUsage,Load_2ndFloorSensHeatEnergyUsage Loads Multiple Energy_Thermal Cumulative energy consumption starting at midnight by sensible heat generators on second floor Wh
240,Load_2ndFloorSensHeatPowerUsage,Load_2ndFloorSensHeatPowerUsage Loads Multiple Power_Thermal Instantaneous power consumption by sensible heat emulators on second floor  W
241,Load_BasementPlugLoadsEnergyUsage,Load_BasementPlugLoadsEnergyUsage Loads  Basement Energy_Electrical Cumulative energy consumption starting at midnight by plug loads in basement Wh
242,Load_BasementPlugLoadsPowerUsage,Load_BasementPlugLoadsPowerUsage Loads  Basement Power_Electrical Instantaneous power consumption by plug loads in basement W
243,Load_BR2PlugLoadsEnergyUsage,Load_BR2PlugLoadsEnergyUsage Loads Bedroom2 Energy_Electrical Cumulative energy consumption starting at midnight by plug loads in bedroom 2 Wh
244,Load_BR2PlugLoadsPowerUsage,Load_BR2PlugLoadsPowerUsage Loads Bedroom2 Power_Electrical Instantaneous power consumption by plug loads in bedroom 2 W
245,Load_BR3PlugLoadsEnergyUsage,Load_BR3PlugLoadsEnergyUsage Loads Bedroom3 Energy_Electrical Cumulative energy consumption starting at midnight by plug loads in bedroom 3 Wh
246,Load_BR3PlugLoadsPowerUsage,Load_BR3PlugLoadsPowerUsage Loads Bedroom3 Power_Electrical Instantaneous power consumption by plug loads in bedroom 3 W
247,Load_BR4PlugLoadsEnergyUsage,Load_BR4PlugLoadsEnergyUsage Loads Bedroom4 Energy_Electrical Cumulative energy consumption starting at midnight by plug loads in bedroom 4 Wh
248,Load_BR4PlugLoadsPowerUsage,Load_BR4PlugLoadsPowerUsage Loads Bedroom4 Power_Electrical Instantaneous power consumption by plug loads in bedroom 4 W
249,Load_ClothesWasherEnergywithStandby,Load_ClothesWasherEnergywithStandby Loads  Utility Energy_Electrical Cumulative energy consumption starting at midnight by clothes washer Wh
250,Load_ClothesWasherPowerWithStandby,Load_ClothesWasherPowerWithStandby Loads Utility Power_Electrical Instantaneous power consumption by clothes washer W
251,Load_DryerEnergyTotal,Load_DryerEnergyTotal Loads Utility Energy_Electrical Cumulative energy consumption starting at midnight by dryer Wh
252,Load_DryerPowerTotal,Load_DryerPowerTotal Loads Utility Power_Electrical Instantaneous power consumption by dryer W
253,Load_RefrigeratorTemp,Load_RefrigeratorTemp Loads Kitchen Temp_Air Instantaneous temperature within refrigerator compartment °C
254,Load_KPlugLoadsEnergyUsage,Load_KPlugLoadsEnergyUsage Loads Kitchen Energy_Electrical Cumulative energy consumption starting at midnight by plug loads in kitchen Wh
255,Load_KPlugLoadsPowerUsage,Load_KPlugLoadsPowerUsage Loads Kitchen Power_Electrical Instantaneous power consumption by plug loads in kitchen  W
256,Load_LatentHeatEnergyUsage,Load_LatentHeatEnergyUsage Loads Kitchen Energy_Thermal Cumulative energy consumption starting at midnight by moisture generators Wh
257,Load_LatentHeatPowerUsage,Load_LatentHeatPowerUsage Loads Kitchen Power_Thermal Instantaneous power consumption by moisture generator  W
258,Load_LatentHeatWaterVolume,Load_LatentHeatWaterVolume Loads Kitchen Flow_Water Cumulative volume of water injected into space by humidifier to simulate moisture addition by occupant behavior Gallons
259,Load_LRPlugLoadsEnergyUsage,Load_LRPlugLoadsEnergyUsage Loads Living Room Energy_Electrical Cumulative energy consumption starting at midnight by plug loads in living room Wh
260,Load_LRPlugLoadsPowerUsage,Load_LRPlugLoadsPowerUsage Loads Living Room Power_Electrical Instantaneous power consumption by plug loads in living room  W
261,Load_MBRPlugLoadsEnergyUsage,Load_MBRPlugLoadsEnergyUsage Loads Master Bedroom Energy_Electrical Cumulative energy consumption starting at midnight by plug loads in master bedroom Wh
262,Load_MBRPlugLoadsPowerUsage,Load_MBRPlugLoadsPowerUsage Loads Master Bedroom Power_Electrical Instantaneous power consumption by plug loads in master bedroom W
263,Load_MicrowaveEnergywithStandby,Load_MicrowaveEnergywithStandby Loads  Kitchen Energy_Electrical Cumulative energy consumption starting at midnight by microwave oven Wh
264,Load_MicrowavePowerWithStandby,Load_MicrowavePowerWithStandby Loads Kitchen Power_Electrical Instantaneous power consumption by microwave oven W
265,Load_OvenEnergyTotal,Load_OvenEnergyTotal Loads Kitchen Energy_Electrical Cumulative energy consumption starting at midnight by oven Wh
266,Load_OvenPowerTotal,Load_OvenPowerTotal Loads Kitchen Power_Electrical Instantaneous power consumption by oven W
267,Load_RefrigeratorEnergywithStandby,Load_RefrigeratorEnergywithStandby Loads  Kitchen Energy_Electrical Cumulative energy consumption starting at midnight by refrigerator Wh
268,Load_RefrigeratorPowerWithStandby,Load_RefrigeratorPowerWithStandby Loads Kitchen Power_Electrical Instantaneous power consumption by refrigerator W
269,Load_StatusApplianceCooktop,"Load_StatusApplianceCooktop Loads Kitchen Status_OnOff Number to indicate whether cooktop is activated (1: Yes, O: No) "
270,Load_StatusApplianceDishwasher,"Load_StatusApplianceDishwasher Loads Kitchen Status_OnOff Number to indicate whether dishwasher is activated (1: Yes, O: No) "
271,Load_StatusApplianceOven,"Load_StatusApplianceOven Loads Kitchen Status_OnOff Number to indicate whether oven is activated (1: Yes, O: No) "
272,Load_StatusApplianceRangeHood,"Load_StatusApplianceRangeHood Loads Kitchen Status_OnOff Number to indicate whether range hood is activated (1: Yes, O: No) "
273,Load_StatusLatentload,"Load_StatusLatentload Loads Kitchen Status_OnOff Number to indicate whether moisture generator is activated (1: Yes, O: No) "
274,Load_StatusPlugLoadBlender,"Load_StatusPlugLoadBlender Loads Kitchen Status_OnOff Number to indicate whether blender is activated (1: Yes, O: No) "
275,Load_StatusPlugLoadBR2Laptop,"Load_StatusPlugLoadBR2Laptop Loads Bedroom2 Status_OnOff Number to indicate whether laptop computer in bedroom 2 is activated (1: Yes, O: No) "
276,Load_StatusPlugLoadBR3Laptop,"Load_StatusPlugLoadBR3Laptop Loads Bedroom3 Status_OnOff Number to indicate whether laptop computer in bedroom 3 is activated (1: Yes, O: No) "
277,Load_StatusPlugLoadCanOpener,"Load_StatusPlugLoadCanOpener Loads Kitchen Status_OnOff Number to indicate whether can opener is activated (1: Yes, O: No) "
278,Load_StatusPlugLoadCoffeeMaker,"Load_StatusPlugLoadCoffeeMaker Loads Kitchen Status_OnOff Number to indicate whether coffee maker is activated (1: Yes, O: No) "
279,Load_StatusPlugLoadDesktopPCMonitor,"Load_StatusPlugLoadDesktopPCMonitor Loads Bedroom4 Status_OnOff Number to indicate whether desktop computer and monitor in first floor bedroom is activated (1: Yes, O: No) "
280,Load_StatusPlugLoadFan,"Load_StatusPlugLoadFan Loads Master Bedroom Status_OnOff Number to indicate whether fan in master bedroom is activated (1: Yes, O: No) "
281,Load_StatusPlugLoadHairDryerCurlIron,"Load_StatusPlugLoadHairDryerCurlIron Loads MBath Status_OnOff Number to indicate whether hair dryer or curling iron is activated (1: Yes, O: No) "
282,Load_StatusPlugLoadHandMixer,"Load_StatusPlugLoadHandMixer Loads Kitchen Status_OnOff Number to indicate whether hand mixer is activated (1: Yes, O: No) "
283,Load_StatusPlugLoadHeatingPad,"Load_StatusPlugLoadHeatingPad Loads Master Bedroom Status_OnOff Number to indicate whether heating pad is activated (1: Yes, O: No) "
284,Load_StatusPlugLoadIron,"Load_StatusPlugLoadIron Loads Master Bedroom Status_OnOff Number to indicate whether iron is activated (1: Yes, O: No) "
285,Load_StatusPlugLoadLRBlueRay,"Load_StatusPlugLoadLRBlueRay Loads Living Room Status_OnOff Number to indicate whether BluRay player in living room is activated (1: Yes, O: No) "
286,Load_StatusPlugLoadLRTV,"Load_StatusPlugLoadLRTV Loads Living Room Status_OnOff Number to indicate whether television in living room is activated (1: Yes, O: No) "
287,Load_StatusPlugLoadMBRBlueRay,"Load_StatusPlugLoadMBRBlueRay Loads Master Bedroom Status_OnOff Number to indicate whether BluRay player in master bedroom is activated (1: Yes, O: No) "
288,Load_StatusPlugLoadMBRTV,"Load_StatusPlugLoadMBRTV Loads Master Bedroom Status_OnOff Number to indicate whether television in master bedroom is activated (1: Yes, O: No) "
289,Load_StatusPlugLoadSlowCooker,"Load_StatusPlugLoadSlowCooker Loads Kitchen Status_OnOff Number to indicate whether slow cooker is activated (1: Yes, O: No) "
290,Load_StatusPlugLoadToaster,"Load_StatusPlugLoadToaster Loads Kitchen Status_OnOff Number to indicate whether toaster is activated (1: Yes, O: No) "
291,Load_StatusPlugLoadToasterOven,"Load_StatusPlugLoadToasterOven Loads Kitchen Status_OnOff Number to indicate whether toaster oven is activated (1: Yes, O: No) "
292,Load_StatusPlugLoadVacuum,"Load_StatusPlugLoadVacuum Loads Bedroom4 Status_OnOff Number to indicate whether vacuum is activated (1: Yes, O: No) "
293,Load_StatusPlugLoadVideoGame,"Load_StatusPlugLoadVideoGame Loads Living Room Status_OnOff Number to indicate whether video game console in living room is activated (1: Yes, O: No) "
294,Load_StatusBR4Lights,"Load_StatusBR4Lights Loads Bedroom4 Status_OnOff Number to indicate whether lights in bedroom 4 are activated (1: Yes, O: No) "
295,Load_StatusMBALights,"Load_StatusMBALights Loads MBath Status_OnOff Number to indicate whether lights in master bathroom are activated (1: Yes, O: No) "
296,Load_StatusMBRLights1,"Load_StatusMBRLights1 Loads Master Bedroom Status_OnOff Number to indicate whether lights A in master bedroom are activated (1: Yes, O: No) "
297,Load_StatusMBRLights2,"Load_StatusMBRLights2 Loads Master Bedroom Status_OnOff Number to indicate whether lights B in master bedroom are activated (1: Yes, O: No) "
298,Load_StatusBA2Lights,"Load_StatusBA2Lights Loads Bath2 Status_OnOff Number to indicate whether lights 2nd floor bathroom located off hallway are activated (1: Yes, O: No) "
299,Load_StatusBR2Lights,"Load_StatusBR2Lights Loads Bedroom2 Status_OnOff Number to indicate whether lights in bedroom 2 are activated (1: Yes, O: No) "
300,Load_StatusBA1Lights,"Load_StatusBA1Lights Loads Bath1 Status_OnOff Number to indicate whether lights in 1st floor bathroom are activated (1: Yes, O: No) "
301,Load_StatusBR3Lights,"Load_StatusBR3Lights Loads Bedroom3 Status_OnOff Number to indicate whether lights in bedroom 3 are activated (1: Yes, O: No) "
302,Load_StatusSensHeatPrntBDOWN,"Load_StatusSensHeatPrntBDOWN Loads Dining Room Status_OnOff Number to indicate whether parent B is simulated as being downstairs (1: Yes, O: No) "
303,Load_StatusSensHeatPrntAUP,"Load_StatusSensHeatPrntAUP Loads Master Bedroom Status_OnOff Number to indicate whether parent A is simulated as being upstairs (1: Yes, O: No) "
304,Load_StatusKitchenLightsA,"Load_StatusKitchenLightsA Loads Kitchen Status_OnOff Number to indicate whether lights A in kitchen are activated (1: Yes, O: No) "
305,Load_StatusSensHeatPrntBUP,"Load_StatusSensHeatPrntBUP Loads Master Bedroom Status_OnOff Number to indicate whether parent B is simulated as being upstairs (1: Yes, O: No) "
306,Load_StatusSensHeatChildAUP,"Load_StatusSensHeatChildAUP Loads Bedroom2 Status_OnOff Number to indicate whether child A is simulated as being upstairs (1: Yes, O: No) "
307,Load_StatusSensHeatChildBUP,"Load_StatusSensHeatChildBUP Loads Bedroom3 Status_OnOff Number to indicate whether child B is simulated as being upstairs (1: Yes, O: No) "
308,Load_StatusKitchen LightsB,"Load_StatusKitchen LightsB Loads Kitchen Status_OnOff Number to indicate whether lights B in kitchen are activated (1: Yes, O: No) "
309,Load_StatusSensHeatChildBDOWN,"Load_StatusSensHeatChildBDOWN Loads Dining Room Status_OnOff Number to indicate whether child B is simulated as being downstairs (1: Yes, O: No) "
310,Load_StatusLRLights1,"Load_StatusLRLights1 Loads Living Room Status_OnOff Number to indicate whether lights in living room are activated (1: Yes, O: No) "
311,Load_StatusSensHeatPrntADOWN,"Load_StatusSensHeatPrntADOWN Loads Kitchen Status_OnOff Number to indicate whether parent A is simulated as being downstairs (1: Yes, O: No) "
312,Load_StatusSensHeatChildADOWN,"Load_StatusSensHeatChildADOWN Loads Living Room Status_OnOff Number to indicate whether child A is simulated as being downstairs (1: Yes, O: No) "
313,Load_StatusKitchenLightsC,"Load_StatusKitchenLightsC Loads Kitchen Status_OnOff Number to indicate whether lights C in kitchen are activated (1: Yes, O: No) "
314,Load_StatusLRLights2,"Load_StatusLRLights2 Loads Living Room Status_OnOff Number to indicate whether lights in living room are activated (1: Yes, O: No) "
315,Load_StatusDRLights,"Load_StatusDRLights Loads Dining Room Status_OnOff Number to indicate whether lights in dining room are activated (1: Yes, O: No) "
316,Load_StatusLRLights3,"Load_StatusLRLights3 Loads Living Room Status_OnOff Number to indicate whether lights in living room are activated (1: Yes, O: No) "
317,Load_StatusEntryHallLights,"Load_StatusEntryHallLights Loads Entry Hallway Status_OnOff Number to indicate whether lights in entry hallway are activated (1: Yes, O: No) "
318,OutEnv_OutdoorAmbTemp,OutEnv_OutdoorAmbTemp OutEnv Outdoor Temp_Air Instantaneous dry bulb temperature measured above the roof's peak °C
319,OutEnv_RooftopWindDirection,"OutEnv_RooftopWindDirection OutEnv Outdoor Flow_Air Instantaneous wind direction measured above the roof's peak; 0° means wind is blowing from true north; all other readings are taken relative to clockwise from true north.  For example, 90° means wind is blowing from true east to true west.    degrees"
320,OutEnv_RooftopWindSpeed,OutEnv_RooftopWindSpeed OutEnv Outdoor Flow_Air Instantaneous wind speed measured above the roof's peak m/s
321,Elec_EnergyPV1of2,Elec_EnergyPV1of2 PV Basement Energy_Electrical Cumulative energy fed into breaker panel by one leg of electrical supply from PV inverters from midnight; note that energy supplied from other leg is needed to get total energy supply from inverters Wh
322,Elec_EnergyPV2of2,Elec_EnergyPV2of2 PV Basement Energy_Electrical Cumulative energy fed into breaker panel by one leg of electrical supply from PV inverters from midnight; note that energy supplied from other leg is needed to get total energy supply from inverters Wh
323,Elec_PowerPV1of2,Elec_PowerPV1of2 PV Basement Power_Electrical Instantaneous power fed into breaker panel by one leg of electrical supply from PV inverters; note that power supplied from other leg is needed to get total power supply from inverters W
324,Elec_PowerPV2of2,Elec_PowerPV2of2 PV Basement Power_Electrical Instantaneous power fed into breaker panel by one leg of electrical supply from PV inverters; note that power supplied from other leg is needed to get total power supply from inverters W
325,PV_AmpsAIA1,PV_AmpsAIA1 PV Attic Current_Electrical Instantaneous current produced from the Phase A wire from inverter 1 (AC) A
326,PV_AmpsAIA2,PV_AmpsAIA2 PV Attic Current_Electrical Instantaneous current produced from the Phase A wire from inverter 2 (AC) A
327,PV_AmpsBIB1,PV_AmpsBIB1 PV Attic Current_Electrical Instantaneous current produced from the Phase B wire from inverter 1 (AC) V
328,PV_AmpsBIB2,PV_AmpsBIB2 PV Attic Current_Electrical Instantaneous current produced from the Phase B wire from inverter 2 (AC) V
329,PV_FrequencyF1,PV_FrequencyF1 PV  Attic Frequency_Electrical Instantaneous frequency of AC electricity output from inverter 1 Hz
330,PV_FrequencyF2,PV_FrequencyF2 PV  Attic Frequency_Electrical Instantaneous frequency of AC electricity output from inverter 2 Hz
331,PV_PowerFactor3PhTotalPF3PhT1,PV_PowerFactor3PhTotalPF3PhT1 PV Attic PowerFactor_Electrical Instantaneous power factor of electricity output from inverter 1 (Single Phase AC) 
332,PV_PowerFactor3PhTotalPF3PhT2,PV_PowerFactor3PhTotalPF3PhT2 PV Attic PowerFactor_Electrical Instantaneous power factor of electricity output from inverter 2 (Single Phase AC) 
333,PV_PVBacksideTemp2,"PV_PVBacksideTemp2 PV Outdoor Temp_PV Instantaneous temperature on the backside of module at location 2 of the photovoltaic array.  Location 2 is on the 3rd string from the bottom of the array, the fourth module from the west side of the array.   °C"
334,PV_PVBacksideTemp3,"PV_PVBacksideTemp3 PV Outdoor Temp_PV Instantaneous temperature on the backside of module at location 3 of the photovoltaic array.  Location 3 is on the 3rd string from the bottom of the array, the fourth module from the west side of the array.   °C"
335,PV_PVBacksideTemp4,"PV_PVBacksideTemp4 PV Outdoor Temp_PV Instantaneous temperature on the backside of module at location 4 of the photovoltaic array.  Location 4 is on the 3rd string from the bottom of the array, the fourth module from the west side of the array.   °C"
336,PV_PVBacksideTemp7,"PV_PVBacksideTemp7 PV Outdoor Temp_PV Instantaneous temperature on the backside of module at location 7 of the photovoltaic array.  Location 7 is on the top string of the array, the west-most module of the array.   °C"
337,PV_PVInsolationHArray,PV_PVInsolationHArray PV Outdoor Light_Solar The amount of sunlight impacting the array during the past minute.   kWh
338,PV_PVSystem1ACEnergyOSEACPV1OS,PV_PVSystem1ACEnergyOSEACPV1OS PV Attic Energy_Electrical Cumulative AC energy generation out of inverter 1 of the photovoltaic array; data collected with an inline meter.   Wh
